Ref,Body_Style,Doors,Cab_Config,Bed_Length_in,Bed_Volume_cuft,Roof_Height,Wheelbase_in,Length_in,Width_in,Height_in,Track_Front_in,Track_Rear_in,Ground_Clearance_in,Approach_Angle_deg,Departure_Angle_deg,Breakover_Angle_deg,Drag_Coefficient,Cargo_Volume_cuft,Cargo_Volume_Max_cuft,Fuel_Capacity_gal,Seating_Rows
nhtsa-audi-a6-sedan-4dr-106-3,Sedan,4,,,,,106.3,192.9,70.5,,59.4,59.8,,,,,,,,,
nhtsa-audi-a6-sedan-4dr-108-7,Sedan,4,,,,,108.7,192.1,71.3,57.1,60.6,61.4,,,,,,,,,
nhtsa-audi-a6-sedan-4dr-108-7-2,Sedan,4,,,,,108.7,192.1,71.3,57.1,60.6,61.8,,,,,,,,,
nhtsa-audi-a6-sedan-4dr-108-7-3,Sedan,4,,,,,108.7,193.3,,57.1,62.2,62.6,,,,,,,,,
nhtsa-audi-a6-sedan-4dr-108-7-4,Sedan,4,,,,,108.7,192.1,71.3,57.1,61,61.8,,,,,,,,,
nhtsa-audi-a6-sedan-4dr-108-7-5,Sedan,4,,,,,108.7,193.3,71.3,57.1,62.2,62.6,,,,,,,,,
nhtsa-audi-a6-sedan-4dr-111,Sedan,4,,,,,111,193.7,73.2,57.5,62.2,62.2,,,,,,,,,
nhtsa-audi-a6-sedan-4dr-111-8,Sedan,4,,,,,111.8,193.7,73.2,57.5,62.2,62.2,,,,,,,,,
nhtsa-audi-a6-sedan-4dr-114-6,Sedan,4,,,,,114.6,193.7,73.6,57.5,64.2,63.8,,,,,,,,,
nhtsa-audi-a6-sedan-4dr-115,Sedan,4,,,,,115,194.5,74.4,57.5,64.2,63.8,,,,,,,,,
nhtsa-audi-a6-sedan-4dr-116-1,Sedan,4,,,,,116.1,194.1,75.6,57.5,65.4,63.8,,,,,,,,,
nhtsa-audi-a6-wagon-4dr-105-9,Wagon,4,,,,,105.9,192.5,70.1,57.9,60.2,59.8,,,,,,,,,
nhtsa-audi-a6-wagon-4dr-105-9-2,Wagon,4,,,,,105.9,192.5,70.1,58.3,59.8,59.8,,,,,,,,,
nhtsa-audi-a6-wagon-4dr-108-7,Wagon,4,,,,,108.7,192.1,71.3,58.3,60.6,61.8,,,,,,,,,
nhtsa-audi-a6-wagon-4dr-111-8,Wagon,4,,,,,111.8,194.1,73.2,58.3,61.4,62.2,,,,,,,,,
nhtsa-audi-a6-wagon-4dr-111-8-2,Wagon,4,,,,,111.8,194.1,73.2,57.5,61.4,62.2,,,,,,,,,
nhtsa-audi-a7-body-4dr-114-6,,4,,,,,114.6,195.7,75.2,55.9,64.6,64.6,,,,,,,,,
